2017-09-17 17:15:39,811 [Worker-2] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2017-09-17 17:23:23,043 [Worker-4] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2017-09-17 17:23:47,738 [Worker-3] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2017-09-17 17:27:29,992 [Worker-3] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2017-09-17 17:31:33,411 [Worker-1] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2017-09-17 17:31:59,599 [Worker-0] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2017-09-17 17:33:05,925 [Worker-3] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2017-09-17 17:35:52,601 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: com.dhbw.sumatra:sumatra:5.0 @ E:\eclipse-java-oxygen-R-win32-x86_64\workspace\Sumatra\pom.xml.
2017-09-17 17:35:53,912 [Worker-15] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: edu.tigers.sumatra:autoreferee:1.0 @ E:\eclipse-java-oxygen-R-win32-x86_64\workspace\Sumatra\modules\autoreferee\pom.xml.
2017-09-17 17:35:54,742 [Worker-15] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: com.dhbw.sumatra:sumatra:5.0 @ E:\eclipse-java-oxygen-R-win32-x86_64\workspace\Sumatra\pom.xml.
2017-09-17 17:36:01,614 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: edu.tigers.sumatra:module-template:1.0 @ E:\eclipse-java-oxygen-R-win32-x86_64\workspace\Sumatra\modules\module-template\pom.xml.
2017-09-17 17:36:01,781 [Worker-15] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: edu.tigers.sumatra:autoreferee-gui:1.0 @ E:\eclipse-java-oxygen-R-win32-x86_64\workspace\Sumatra\modules\autoreferee-gui\pom.xml.
2017-09-17 17:36:01,810 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.tigers.sumatra:common-gui:jar:1.0 is missing, no dependency information available
2017-09-17 17:36:01,836 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.tigers.sumatra:moduli-autoreferee:jar:1.0 is missing, no dependency information available
2017-09-17 17:36:01,858 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.tigers.sumatra:sumatra-gui-visualizer:jar:1.0 is missing, no dependency information available
2017-09-17 17:36:03,415 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: edu.tigers.sumatra:autoreferee:1.0 @ E:\eclipse-java-oxygen-R-win32-x86_64\workspace\Sumatra\modules\autoreferee\pom.xml.
2017-09-17 17:36:04,567 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: com.dhbw.sumatra:sumatra:5.0 @ E:\eclipse-java-oxygen-R-win32-x86_64\workspace\Sumatra\pom.xml.
2017-09-17 17:36:04,599 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2017-09-17 17:36:04,606 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 8 resources
2017-09-17 17:36:04,723 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2017-09-17 17:36:04,726 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-09-17 17:36:04,992 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: edu.tigers.sumatra:autoreferee-gui:1.0 @ E:\eclipse-java-oxygen-R-win32-x86_64\workspace\Sumatra\modules\autoreferee-gui\pom.xml.
2017-09-17 17:36:05,291 [Worker-15] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: edu.tigers.sumatra:autoreferee-main:1.0 @ E:\eclipse-java-oxygen-R-win32-x86_64\workspace\Sumatra\modules\autoreferee-main\pom.xml.
2017-09-17 17:36:05,315 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.tigers.sumatra:common-model:jar:1.0 is missing, no dependency information available
2017-09-17 17:36:05,355 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.tigers.sumatra:moduli-timer:jar:1.0 is missing, no dependency information available
2017-09-17 17:36:05,403 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.tigers.sumatra:moduli-referee:jar:1.0 is missing, no dependency information available
2017-09-17 17:36:05,425 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.tigers.sumatra:moduli-autoreferee:jar:1.0 is missing, no dependency information available
2017-09-17 17:36:05,442 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.tigers.sumatra:common-gui:jar:1.0 is missing, no dependency information available
2017-09-17 17:36:05,466 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.tigers.sumatra:sumatra-gui-visualizer:jar:1.0 is missing, no dependency information available
2017-09-17 17:36:05,523 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.tigers.sumatra:moduli-wp-kalman:jar:1.0 is missing, no dependency information available
2017-09-17 17:36:05,562 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.tigers.sumatra:common-gui-config:jar:1.0 is missing, no dependency information available
2017-09-17 17:36:05,591 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.tigers.sumatra:sumatra-gui-log:jar:1.0 is missing, no dependency information available
2017-09-17 17:36:06,839 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2017-09-17 17:36:06,841 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 5 resources
2017-09-17 17:36:07,078 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2017-09-17 17:36:07,079 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-09-17 17:36:10,328 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: edu.tigers.sumatra:autoreferee:1.0 @ E:\eclipse-java-oxygen-R-win32-x86_64\workspace\Sumatra\modules\autoreferee\pom.xml.
2017-09-17 17:36:10,376 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: com.dhbw.sumatra:sumatra:5.0 @ E:\eclipse-java-oxygen-R-win32-x86_64\workspace\Sumatra\pom.xml.
2017-09-17 17:36:10,683 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: edu.tigers.sumatra:autoreferee-gui:1.0 @ E:\eclipse-java-oxygen-R-win32-x86_64\workspace\Sumatra\modules\autoreferee-gui\pom.xml.
